MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈,,MACµÿ÷∑±‡∫≈
0001MAC:5CCF7FBBCA98,,0101MAC:6001944A8251,,0201MAC:6001944A83CE,,0301MAC:5CCF7FBBB8B7,,0401MAC:5CCF7FADF0D8,,0501MAC:A020A60526CA,,0601MAC:5CCF7FB256E1,,0701MAC:5CCF7FB255AC,,0801MAC:5CCF7FBBBD39,,0901MAC:5CCF7FBBB8C5,,2011MAC:5CCF7F6249D2
0002MAC:60019401010C,,0102MAC:6001944A82A7,,0202MAC:6001944A8101,,0302MAC:5CCF7FBBB8D0,,0402MAC:5CCF7FADF1B7,,0502MAC:5CCF7FADEF38,,0602MAC:5CCF7FB27D2B,,0702MAC:5CCF7FB256F2,,0802MAC:5CCF7FBBBDDA,,0902MAC:5CCF7FBBBD79,,2012MAC:5CCF7F6249F9
0003MAC:6001944A8113,,0103MAC:6001944A8166,,0203MAC:6001944A83EE,,0303MAC:5CCF7FBBB852,,0403MAC:5CCF7FADF139,,0503MAC:5CCF7FADEF76,,0603MAC:5CCF7FB256DA,,0703MAC:5CCF7FB27D37,,0803MAC:5CCF7FBBB971,,0903MAC:5CCF7FBBB8AE,,2013MAC:5CCF7F6249CD
0004MAC:5CCF7F2802C3,,0104MAC:6001944A8155,,0204MAC:6001944A850A,,0304MAC:5CCF7FBBBCF6,,0404MAC:5CCF7FADEF07,,0504MAC:5CCF7FADF1D9,,0604MAC:5CCF7FB256C4,,0704MAC:5CCF7FB255D1,,0804MAC:5CCF7FBBB8D3,,0904MAC:5CCF7FBBBDED,,2014MAC:5CCF7F624A09
0005MAC:6001944A8330,,0105MAC:6001944A81C8,,0205MAC:6001944A8310,,0305MAC:5CCF7FBBB978,,0405MAC:A020A60526A4,,0505MAC:5CCF7FADF059,,0605MAC:5CCF7FB256D5,,0705MAC:5CCF7FB2564F,,0805MAC:5CCF7FBBBCB5,,0905MAC:5CCF7FBBB845,,2015MAC:5CCF7F6249CF
0006MAC:6001944A8337,,0106MAC:6001944A8122,,0206MAC:6001944A840D,,0306MAC:5CCF7FBBBE01,,0406MAC:5CCF7FADEFD3,,0506MAC:5CCF7FB256B0,,0606MAC:5CCF7FB25705,,0706MAC:5CCF7FB2554D,,0806MAC:5CCF7FBBBE14,,0906MAC:5CCF7FBBBCB0,,2016MAC:2C3AE83DFAEC
0007MAC:A020A60CB870,,0107MAC:6001944A81F1,,0207MAC:6001944A8450,,0307MAC:5CCF7FBBB914,,0407MAC:5CCF7FADEF73,,0507MAC:5CCF7FB27D38,,0607MAC:5CCF7FB256DF,,0707MAC:5CCF7FB27D36,,0807MAC:5CCF7FBBCA91,,0907MAC:5CCF7FBBBD8B,,2017MAC:2C3AE83E033C
0008MAC:6001944A8350,,0108MAC:6001944A82AA,,0208MAC:6001944A8317,,0308MAC:5CCF7FBBB83E,,0408MAC:5CCF7FADEEE9,,0508MAC:5CCF7FB256B8,,0608MAC:5CCF7FB256F8,,0708MAC:5CCF7FB254E2,,0808MAC:5CCF7FBBB943,,0908MAC:5CCF7FBBBD0F,,2018MAC:2C3AE83DFD32
0009MAC:18FE34D1C500,,0109MAC:6001944A8379,,0209MAC:6001944A84E1,,0309MAC:5CCF7FBBB981,,0409MAC:5CCF7FADEFC1,,0509MAC:5CCF7FB27D3E,,0609MAC:5CCF7FB256CA,,0709MAC:5CCF7FB254B1,,0809MAC:5CCF7FBB642F,,0909MAC:5CCF7FBBBDB8,,2019MAC:2C3AE83E0266
0010MAC:6001944A84A9,,0110MAC:6001944A8116,,0210MAC:6001944A83DF,,0310MAC:5CCF7FBBB81C,,0410MAC:5CCF7FADEF95,,0510MAC:5CCF7FB27E0F,,0610MAC:5CCF7FB256C5,,0710MAC:5CCF7FB25568,,0810MAC:5CCF7FBB6E35,,0910MAC:5CCF7FBBBD48,,2020MAC:2C3AE83DFB73
0011MAC:6001944A8105,,0111MAC:6001944A816B,,0211MAC:6001944A841C,,0311MAC:5CCF7FBBBC90,,0411MAC:5CCF7FADEFA2,,0511MAC:5CCF7FB256C2,,0611MAC:5CCF7FB256CE,,0711MAC:5CCF7FB27D23,,0811MAC:5CCF7FBBBD9A,,0911MAC:5CCF7FBBBE0A,,2021MAC:5CCF7F624A0B
0012MAC:6001944A832D,,0112MAC:6001944A81BE,,0212MAC:6001944A846B,,0312MAC:5CCF7FBBB8A3,,0412MAC:5CCF7FBBBDFA,,0512MAC:5CCF7FB27D8D,,0612MAC:5CCF7FB256F9,,0712MAC:5CCF7F23EF99,,0812MAC:5CCF7FBBB88F,,0912MAC:5CCF7FBBBE11,,2022MAC:5CCF7F624A04
0013MAC:6001944A8329,,0113MAC:6001944A82AE,,0213MAC:6001944A8336,,0313MAC:5CCF7FBBBDEC,,0413MAC:5CCF7FADF057,,0513MAC:5CCF7FB27D61,,0613MAC:5CCF7FB2570A,,0713MAC:5CCF7FB255CF,,0813MAC:5CCF7FBBCA85,,0913MAC:5CCF7FBBBD58,,2023MAC:5CCF7F6249D0
0014MAC:6001944A8186,,0114MAC:6001944A811E,,0214MAC:6001944A849B,,0314MAC:5CCF7FBBB895,,0414MAC:5CCF7FADF360,,0514MAC:5CCF7FB256BD,,0614MAC:5CCF7FB25708,,0714MAC:5CCF7FB256CB,,0814MAC:5CCF7FBBBDCE,,0914MAC:5CCF7FBBBD71,,2024MAC:5CCF7F624A08
0015MAC:6001944A80BA,,0115MAC:6001944A817B,,0215MAC:6001944A84FE,,0315MAC:5CCF7FBBB817,,0415MAC:A020A60526FC,,0515MAC:5CCF7FB256C3,,0615MAC:5CCF7FB27D26,,0715MAC:5CCF7FB2547B,,0815MAC:5CCF7FBBBDE2,,0915MAC:5CCF7FBBB832,,2025MAC:5CCF7F6249FA
0016MAC:6001944A832C,,0116MAC:6001944A816C,,0216MAC:6001944A831B,,0316MAC:600194286645,,0416MAC:5CCF7FADEFB9,,0516MAC:5CCF7FB256BA,,0616MAC:5CCF7FB256D1,,0716MAC:5CCF7FB2571F,,0816MAC:5CCF7FBBCA8A,,0916MAC:5CCF7FBBB8B2,,2026MAC:2C3AE83DFF0A
0017MAC:6001944A80B2,,0117MAC:6001944A81EC,,0217MAC:6001944A845E,,0317MAC:5CCF7FBBB85C,,0417MAC:5CCF7FADEED5,,0517MAC:5CCF7FB256B6,,0617MAC:5CCF7FB25702,,0717MAC:5CCF7F1EFDD1,,0817MAC:5CCF7FBBBD9F,,0917MAC:5CCF7FBBB8C7,,2027MAC:2C3AE83E01EF
0018MAC:18FE34FDC59B,,0118MAC:6001944A840A,,0218MAC:6001944A8335,,0318MAC:5CCF7FBBB97B,,0418MAC:5CCF7FADF323,,0518MAC:5CCF7FB256BF,,0618MAC:5CCF7FB256FA,,0718MAC:5CCF7FB256BB,,0818MAC:5CCF7FBBBCD8,,0918MAC:5CCF7FBBBCBD,,
0019MAC:6001944A8326,,0119MAC:6001944A8405,,0219MAC:6001944A8424,,0319MAC:5CCF7FBBBD4C,,0419MAC:5CCF7FADF13E,,0519MAC:5CCF7FB256D9,,0619MAC:5CCF7FB256D0,,0719MAC:5CCF7FB27DF9,,0819MAC:5CCF7FBB6E4A,,0919MAC:5CCF7FBBB980,,
0020MAC:18FE349C4B8D,,0120MAC:6001944A80CA,,0220MAC:6001944A8410,,0320MAC:5CCF7FBBB879,,0420MAC:5CCF7FADEF3B,,0520MAC:5CCF7FB256AA,,0620MAC:5CCF7FB256F4,,0720MAC:5CCF7FB254C6,,0820MAC:5CCF7FBBB8AA,,0920MAC:5CCF7FBBB854,,
0021MAC:6001944A8199,,0121MAC:6001944A80A9,,0221MAC:6001944A8333,,0321MAC:5CCF7FBBB87A,,0421MAC:5CCF7FADF052,,0521MAC:5CCF7FB256C0,,0621MAC:5CCF7FB256F6,,0721MAC:5CCF7FB27D85,,0821MAC:5CCF7FBBBCB3,,0921MAC:5CCF7FBBB833,,
0022MAC:6001944A83EC,,0122MAC:6001944A8187,,0222MAC:6001944A8477,,0322MAC:5CCF7FBBBCA0,,0422MAC:5CCF7FADF1E2,,0522MAC:5CCF7FB27E04,,0622MAC:5CCF7FB256FC,,0722MAC:5CCF7FB254B7,,0822MAC:5CCF7FBBB8E4,,0922MAC:5CCF7FBBBD11,,
0023MAC:6001944A844E,,0123MAC:6001944A8204,,0223MAC:6001944A8312,,0323MAC:5CCF7FBBB899,,0423MAC:5CCF7FBBBE6E,,0523MAC:5CCF7FB256AD,,0623MAC:5CCF7FB256FE,,0723MAC:5CCF7FB25723,,0823MAC:5CCF7FBBBD2E,,0923MAC:5CCF7FBBB826,,
0024MAC:6001944A83E7,,0124MAC:6001944A81C1,,0224MAC:6001944A846A,,0324MAC:5CCF7FBBBD1E,,0424MAC:5CCF7FBBBE45,,0524MAC:5CCF7FB27D41,,0624MAC:5CCF7FB256DC,,0724MAC:5CCF7FB25501,,0824MAC:5CCF7FBBB86E,,0924MAC:5CCF7FBB6D61,,
0025MAC:6001944A83DA,,0125MAC:6001944A82E6,,0225MAC:6001944A8469,,0325MAC:5CCF7FBB63A0,,0425MAC:A020A60526CB,,0525MAC:5CCF7FB27D3C,,0625MAC:5CCF7FB256CC,,0725MAC:5CCF7FB255B2,,0825MAC:5CCF7FBBBDAC,,0925MAC:5CCF7FBB679A,,
0026MAC:6001944A808A,,0126MAC:6001944A8171,,0226MAC:6001944A8106,,0326MAC:5CCF7FBBBD93,,0426MAC:5CCF7FADF04A,,0526MAC:5CCF7FB256B9,,0626MAC:5CCF7FB256E0,,0726MAC:5CCF7FB25562,,0826MAC:5CCF7FBB6295,,0926MAC:5CCF7FBB6DDB,,
